thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::1,DIE_LINKE,agree,Zustimmung,0,0.0,-7.1310648918151855,-0.006064940243959427,-15.131065368652344,0.0008040856919251382,0.9991956353187561,2.697406955576298e-07,Neutral,-7.125000189989805,0.0008040856919251382,0
BT21::1,DIE_LINKE,agree,Zustimmung,0,0.5,-7.131147861480713,-0.0061479974538087845,-15.131148338317871,0.0008040856919251382,0.9991956353187561,2.697406955576298e-07,Neutral,-7.125000102445483,0.0008040856919251382,0
BT21::1,DIE_LINKE,agree,Zustimmung,0,1.0,-7.2559709548950195,-0.005971093196421862,-15.13097095489502,0.0007096701883710921,0.9992899894714355,2.6976616140927945e-07,Neutral,-7.250000100117177,0.0007096701883710921,0
BT21::1,DIE_LINKE,agree,Zustimmung,0,2.0,-7.2559685707092285,-0.005968722980469465,-15.255969047546387,0.000709670246578753,0.9992901086807251,2.3806785520719131e-07,Neutral,-7.250000086147338,0.000709670246578753,0
BT21::1,DIE_LINKE,agree,Zustimmung,0,4.0,-7.007657527923584,-0.0076574599370360374,-14.882657051086426,0.0009110509417951107,0.9990886449813843,3.4631685252861644e-07,Neutral,-7.000000425614417,0.0009110509417951107,0
BT21::1,DIE_LINKE,agree,Zustimmung,0,8.0,-7.1310648918151855,-0.006064940243959427,-15.131065368652344,0.0008040856919251382,0.9991956353187561,2.697406955576298e-07,Neutral,-7.125000189989805,0.0008040856919251382,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,0.0,-5.382443904876709,-0.007444142363965511,-19.444944381713867,0.004609572701156139,0.9953904151916504,3.6007623549494383e-09,Neutral,-19.44212047290057,3.6007623549494383e-09,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,0.5,-5.506903648376465,-0.006903842091560364,-19.56940460205078,0.004070138093084097,0.9959298968315125,3.179383867291108e-09,Neutral,-19.56657916493714,3.179383867291108e-09,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,1.0,-5.506904125213623,-0.00690396036952734,-19.50690460205078,0.004070138093084097,0.9959298968315125,3.384436508824251e-09,Neutral,-19.50407904665917,3.384436508824251e-09,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,2.0,-5.506575584411621,-0.0065753767266869545,-19.506574630737305,0.004070138093084097,0.9959298968315125,3.384436508824251e-09,Neutral,-19.504077658988535,3.384436508824251e-09,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,4.0,-5.382370948791504,-0.007371014915406704,-19.44487190246582,0.004609572701156139,0.9953904151916504,3.6007623549494383e-09,Neutral,-19.44212112110108,3.6007623549494383e-09,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,8.0,-5.506903648376465,-0.006903842091560364,-19.44440460205078,0.004070138093084097,0.9959298968315125,3.6027139049821244e-09,Neutral,-19.44157916493714,3.6027139049821244e-09,0
BT21::5,DIE_LINKE,agree,Zustimmung,0,0.0,-0.6965588331222534,-0.6965588331222534,-14.946558952331543,0.49999988079071045,0.49999988079071045,3.237975363390433e-07,Z,-5.960464477539062e-07,0.49999988079071045,1
BT21::5,DIE_LINKE,agree,Zustimmung,0,0.5,-0.6965588331222534,-0.6965588331222534,-14.946558952331543,0.49999988079071045,0.49999988079071045,3.237975363390433e-07,Z,-5.960464477539062e-07,0.49999988079071045,1
BT21::5,DIE_LINKE,agree,Zustimmung,0,1.0,-0.5789276361465454,-0.8289276361465454,-14.953927993774414,0.5621762871742249,0.4378233253955841,3.2128417615240323e-07,Z,0.2499992847442627,0.5621762871742249,1
BT21::5,DIE_LINKE,agree,Zustimmung,0,2.0,-0.6965633630752563,-0.6965633630752563,-14.821563720703125,0.4999998211860657,0.4999998211860657,3.6691062632598914e-07,Z,-7.152557373046875e-07,0.4999998211860657,1
BT21::5,DIE_LINKE,agree,Zustimmung,0,4.0,-0.6965633630752563,-0.6965633630752563,-14.946563720703125,0.49999988079071045,0.49999988079071045,3.237975363390433e-07,Z,-5.960464477539062e-07,0.49999988079071045,1
BT21::5,DIE_LINKE,agree,Zustimmung,0,8.0,-0.6965633630752563,-0.6965633630752563,-14.821563720703125,0.4999998211860657,0.4999998211860657,3.6691062632598914e-07,Z,-7.152557373046875e-07,0.4999998211860657,1
BT21::7,DIE_LINKE,agree,Zustimmung,0,0.0,-3.172248601913452,-0.047248631715774536,-19.42224884033203,0.042087726294994354,0.957912266254425,3.688672922663727e-09,Neutral,-3.1249999701976776,0.042087726294994354,0
