thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::1,AfD,disagree,Ablehnung,0,0.0,-16.000024795532227,-2.4199192921514623e-05,-12.75002384185791,1.1253484188955554e-07,0.9999970197677612,2.902311962316162e-06,Neutral,-12.749999761874278,2.902311962316162e-06,0
BT21::1,AfD,disagree,Ablehnung,0,0.5,-15.937524795532227,-2.4676019165781327e-05,-12.687524795532227,1.1979268776940444e-07,0.9999967813491821,3.089493930019671e-06,Neutral,-12.68750023872235,3.089493930019671e-06,0
BT21::1,AfD,disagree,Ablehnung,0,1.0,-15.93752670288086,-2.6702524337451905e-05,-12.81252670288086,1.1979273040196858e-07,0.9999971389770508,2.7264700293017086e-06,Neutral,-12.812500119565811,2.7264700293017086e-06,0
BT21::1,AfD,disagree,Ablehnung,0,2.0,-15.937524795532227,-2.4676019165781327e-05,-12.750024795532227,1.1979271619111387e-07,0.9999970197677612,2.902311962316162e-06,Neutral,-12.75000023872235,2.902311962316162e-06,0
BT21::1,AfD,disagree,Ablehnung,0,4.0,-16.062524795532227,-2.4199192921514623e-05,-12.75002384185791,1.0571670117087706e-07,0.9999970197677612,2.902311962316162e-06,Neutral,-12.749999761874278,2.902311962316162e-06,0
BT21::1,AfD,disagree,Ablehnung,0,8.0,-15.875024795532227,-2.4914430468925275e-05,-12.812524795532227,1.275186889415636e-07,0.9999971389770508,2.7264700293017086e-06,Neutral,-12.812500000311047,2.7264700293017086e-06,0
BT21::2,AfD,agree,Zustimmung,0,0.0,-6.75140380859375,-0.0014037764631211758,-16.18890380859375,0.0011695100693032146,0.9988303780555725,9.318581817296945e-08,Neutral,-6.750000151339918,0.0011695100693032146,0
BT21::2,AfD,agree,Zustimmung,0,0.5,-6.751405239105225,-0.001405086019076407,-16.188905715942383,0.0011695100693032146,0.9988303780555725,9.318581817296945e-08,Neutral,-6.750000272295438,0.0011695100693032146,0
BT21::2,AfD,agree,Zustimmung,0,1.0,-6.75137996673584,-0.0013799677835777402,-16.063880920410156,0.0011695100693032146,0.9988303780555725,1.0559336516280382e-07,Neutral,-6.750000118161552,0.0011695100693032146,0
BT21::2,AfD,agree,Zustimmung,0,2.0,-6.751380443572998,-0.0013804440386593342,-16.188880920410156,0.0011695100693032146,0.9988303780555725,9.318581817296945e-08,Neutral,-6.750000118743628,0.0011695100693032146,0
BT21::2,AfD,agree,Zustimmung,0,4.0,-6.751380920410156,-0.0013809201773256063,-16.126380920410156,0.0011695100693032146,0.9988303780555725,9.919578758399439e-08,Neutral,-6.75000011944212,0.0011695100693032146,0
BT21::2,AfD,agree,Zustimmung,0,8.0,-6.626536846160889,-0.0015369757311418653,-16.064037322998047,0.0013250221963971853,0.9986748695373535,1.0557692320389833e-07,Neutral,-6.624999989639036,0.0013250221963971853,0
BT21::5,AfD,disagree,Ablehnung,0,0.0,-7.250981330871582,-0.0009812070056796074,-16.125980377197266,0.0007096703629940748,0.9992902278900146,9.924146127104905e-08,Neutral,-16.12570904789027,9.924146127104905e-08,0
