thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,AfD,disagree,Ablehnung,0,0.0,-8.2504243850708,-0.0004247716860845685,-14.5004243850708,0.0002611901727505028,0.9997382760047913,5.042156772105955e-07,Neutral,-14.500260886008618,5.042156772105955e-07,0
BT21::3,AfD,disagree,Ablehnung,0,0.5,-8.375391006469727,-0.0003909300430677831,-14.625391006469727,0.00023050660092849284,0.9997690320014954,4.449824189123319e-07,Neutral,-14.625230600620853,4.449824189123319e-07,0
BT21::3,AfD,disagree,Ablehnung,0,1.0,-8.125456809997559,-0.00045718232286162674,-14.500456809997559,0.00029595696832984686,0.9997034668922424,5.041981125941675e-07,Neutral,-14.500295580539387,5.041981125941675e-07,0
BT21::3,AfD,disagree,Ablehnung,0,2.0,-8.375391960144043,-0.00039200251922011375,-14.625391960144043,0.00023050660092849284,0.9997690320014954,4.449824189123319e-07,Neutral,-14.625230481819017,4.449824189123319e-07,0
BT21::3,AfD,disagree,Ablehnung,0,4.0,-8.125442504882812,-0.00044288364006206393,-14.625442504882812,0.0002959569974336773,0.999703586101532,4.449533150818752e-07,Neutral,-14.62529557410744,4.449533150818752e-07,0
BT21::3,AfD,disagree,Ablehnung,0,8.0,-8.125457763671875,-0.00045789722935296595,-14.625457763671875,0.0002959569974336773,0.999703586101532,4.449533150818752e-07,Neutral,-14.625295819307212,4.449533150818752e-07,0
BT21::4,AfD,agree,Zustimmung,0,0.0,-15.201951026916504,-0.014451127499341965,-4.264451026916504,2.5003532755363267e-07,0.985936164855957,0.014063623733818531,Neutral,-15.201663348823786,2.5003532755363267e-07,0
BT21::4,AfD,agree,Zustimmung,0,0.5,-15.141358375549316,-0.01635831408202648,-4.141358375549316,2.6566371502667607e-07,0.984093427658081,0.01590638794004917,Neutral,-15.141034292057157,2.6566371502667607e-07,0
BT21::4,AfD,agree,Zustimmung,0,1.0,-15.32694149017334,-0.014441845938563347,-4.264441967010498,2.206553944006373e-07,0.985936164855957,0.014063623733818531,Neutral,-15.3266630936414,2.206553944006373e-07,0
BT21::4,AfD,agree,Zustimmung,0,2.0,-15.14133358001709,-0.016333334147930145,-4.141333103179932,2.6566371502667607e-07,0.984093427658081,0.01590638794004917,Neutral,-15.141034476459026,2.6566371502667607e-07,0
BT21::4,AfD,agree,Zustimmung,0,4.0,-15.205961227416992,-0.018460838124155998,-4.018460750579834,2.490405393018591e-07,0.9820135235786438,0.017986206337809563,Neutral,-15.20565035007894,2.490405393018591e-07,0
BT21::4,AfD,agree,Zustimmung,0,8.0,-15.203815460205078,-0.0163151565939188,-4.14131498336792,2.4956798938546854e-07,0.984093427658081,0.01590638794004917,Neutral,-15.203534534201026,2.4956798938546854e-07,0
BT21::6,AfD,agree,Zustimmung,0,0.0,-11.130057334899902,-0.005057280883193016,-5.380057334899902,1.467104084440507e-05,0.9953757524490356,0.0046095047146081924,Neutral,-11.129620287567377,1.467104084440507e-05,0
BT21::6,AfD,agree,Zustimmung,0,0.5,-11.130060195922852,-0.005060245748609304,-5.380060195922852,1.467104084440507e-05,0.9953757524490356,0.0046095047146081924,Neutral,-11.12962018372491,1.467104084440507e-05,0
BT21::6,AfD,agree,Zustimmung,0,1.0,-11.12951946258545,-0.0045192488469183445,-5.504519462585449,1.467899255658267e-05,0.9959152340888977,0.004070078022778034,Neutral,-11.129078618716449,1.467899255658267e-05,0
BT21::6,AfD,agree,Zustimmung,0,2.0,-11.130021095275879,-0.005020985845476389,-5.380021095275879,1.467104084440507e-05,0.9953757524490356,0.0046095047146081924,Neutral,-11.12962034298107,1.467104084440507e-05,0
BT21::6,AfD,agree,Zustimmung,0,4.0,-11.12956714630127,-0.004566716495901346,-5.504566669464111,1.467899255658267e-05,0.9959152340888977,0.004070078022778034,Neutral,-11.129078834783286,1.467899255658267e-05,0
BT21::6,AfD,agree,Zustimmung,0,8.0,-11.005064010620117,-0.005063922610133886,-5.380064010620117,1.6624437193968333e-05,0.9953739047050476,0.004609495867043734,Neutral,-11.004620321560651,1.6624437193968333e-05,0
BT21::8,AfD,agree,Zustimmung,0,0.0,-0.029817992821335793,-3.529818058013916,-11.404817581176758,0.9706769585609436,0.029311904683709145,1.1142304174427409e-05,Z,3.4996200259774923,0.9706769585609436,1
BT21::8,AfD,agree,Zustimmung,0,0.5,-0.02981266938149929,-3.5298125743865967,-11.529812812805176,0.9706782102584839,0.02931194379925728,9.833061085373629e-06,Z,3.4996644500643015,0.9706782102584839,1
BT21::8,AfD,agree,Zustimmung,0,1.0,-0.0263650044798851,-3.651365041732788,-11.526365280151367,0.974032998085022,0.025957100093364716,9.867045264400076e-06,Z,3.624619998037815,0.974032998085022,1
BT21::8,AfD,agree,Zustimmung,0,2.0,-0.02981995977461338,-3.529819965362549,-11.40481948852539,0.9706769585609436,0.029311904683709145,1.1142304174427409e-05,Z,3.4996199663728476,0.9706769585609436,1
BT21::8,AfD,agree,Zustimmung,0,4.0,-0.02636709436774254,-3.6513671875,-11.4013671875,0.9740317463874817,0.02595706656575203,1.1180813089595176e-05,Z,3.6245695091784,0.9740317463874817,1
BT21::8,AfD,agree,Zustimmung,0,8.0,-0.026365701109170914,-3.6513657569885254,-11.526365280151367,0.974032998085022,0.025957100093364716,9.867045264400076e-06,Z,3.6246200166642666,0.974032998085022,1
BT21::10,AfD,agree,Zustimmung,0,0.0,-16.750011444091797,-1.168244216387393e-05,-14.687511444091797,5.3157830137706696e-08,0.9999995231628418,4.1811870232777437e-07,Neutral,-16.75000023848679,5.3157830137706696e-08,0
BT21::10,AfD,agree,Zustimmung,0,0.5,-16.812511444091797,-1.156323378381785e-05,-14.750011444091797,4.993715663204057e-08,0.9999995231628418,3.92786148495361e-07,Neutral,-16.81250023848588,4.993715663204057e-08,0
BT21::10,AfD,agree,Zustimmung,0,1.0,-16.812511444091797,-1.1801649634435307e-05,-14.750011444091797,4.993715663204057e-08,0.9999995231628418,3.92786148495361e-07,Neutral,-16.81250000007003,4.993715663204057e-08,0
BT21::10,AfD,agree,Zustimmung,0,2.0,-16.812511444091797,-1.1801649634435307e-05,-14.812511444091797,4.993715663204057e-08,0.9999995231628418,3.689884522373177e-07,Neutral,-16.81250000007003,4.993715663204057e-08,0
BT21::10,AfD,agree,Zustimmung,0,4.0,-16.687511444091797,-1.2040065485052764e-05,-14.687512397766113,5.6586213048603895e-08,0.9999995231628418,4.1811870232777437e-07,Neutral,-16.68749988086347,5.6586213048603895e-08,0
BT21::10,AfD,agree,Zustimmung,0,8.0,-16.937509536743164,-1.0251946150674485e-05,-15.00001049041748,4.4069395244150655e-08,0.9999996423721313,3.0590220490012143e-07,Neutral,-16.937499642424882,4.4069395244150655e-08,0
BT21::11,AfD,agree,Zustimmung,0,0.0,-17.312536239624023,-3.58813522325363e-05,-10.750036239624023,3.028777939562133e-08,0.9999785423278809,2.1444948288262822e-05,Neutral,-17.3125218157129,3.028777939562133e-08,0
BT21::11,AfD,agree,Zustimmung,0,0.5,-17.437530517578125,-3.0278701160568744e-05,-10.875030517578125,2.6728940838438575e-08,0.9999810457229614,1.8925147742265835e-05,Neutral,-17.437519192973923,2.6728940838438575e-08,0
BT21::11,AfD,agree,Zustimmung,0,1.0,-17.25003433227539,-3.4927710657939315e-05,-10.875035285949707,3.224125677547818e-08,0.9999810457229614,1.8925147742265835e-05,Neutral,-17.25001835866169,3.224125677547818e-08,0
BT21::11,AfD,agree,Zustimmung,0,2.0,-17.375032424926758,-3.290122185717337e-05,-10.750032424926758,2.845273705531781e-08,0.9999785423278809,2.1444948288262822e-05,Neutral,-17.375020981146008,2.845273705531781e-08,0
BT21::11,AfD,agree,Zustimmung,0,4.0,-17.250032424926758,-3.2305197237292305e-05,-10.875032424926758,3.224125677547818e-08,0.9999810457229614,1.8925147742265835e-05,Neutral,-17.25001907382648,3.224125677547818e-08,0
