thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,DIE_LINKE,agree,Zustimmung,0,0.0,-1.2518054246902466,-0.5018054246902466,-4.751805305480957,0.3177430331707001,0.6726619601249695,0.009595007635653019,Neutral,-0.7641634345054626,0.3177430331707001,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,0.5,-1.2530813217163086,-0.5030813217163086,-4.628081321716309,0.31733760237693787,0.6718037128448486,0.010858695954084396,Neutral,-0.7660342454910278,0.31733760237693787,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,1.0,-1.2518622875213623,-0.5018622875213623,-4.751862525939941,0.3177430331707001,0.6726619601249695,0.009595007635653019,Neutral,-0.7641634345054626,0.3177430331707001,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,2.0,-1.251830816268921,-0.5018308162689209,-4.7518310546875,0.3177430331707001,0.6726619601249695,0.009595007635653019,Neutral,-0.7641634345054626,0.3177430331707001,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,4.0,-1.2509737014770508,-0.5009737014770508,-4.875973701477051,0.3181016743183136,0.6734212040901184,0.008477122522890568,Neutral,-0.7625095844268799,0.3181016743183136,0
BT21::3,DIE_LINKE,agree,Zustimmung,0,8.0,-1.251859188079834,-0.501859188079834,-4.751859188079834,0.3177430331707001,0.6726619601249695,0.009595007635653019,Neutral,-0.7641634345054626,0.3177430331707001,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,0.0,-7.086571216583252,-0.46157124638557434,-1.711571216583252,0.0010302438167855144,0.7764990925788879,0.2224707156419754,Neutral,-1.2513258755207062,0.2224707156419754,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,0.5,-7.24978494644165,-0.43728476762771606,-1.8122847080230713,0.0008771871216595173,0.7974866628646851,0.2016361951828003,Neutral,-1.3760992884635925,0.2016361951828003,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,1.0,-7.126938343048096,-0.4394383728504181,-1.8144383430480957,0.0009938671719282866,0.7973934412002563,0.20161263644695282,Neutral,-1.3762456476688385,0.20161263644695282,0
BT21::4,DIE_LINKE,disagree,Ablehnung,0,2.0,-7.209671497344971,-0.39717158675193787,-1.8971716165542603,0.0008984745945781469,0.8168399333953857,0.1822616308927536,Neutral,-1.5010993778705597,0.1822616308927536,0
