thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::1,AfD,disagree,Ablehnung,0,0.0,-2.8433022499084473,-9.593301773071289,-4.093302249908447,0.7765930891036987,0.0009092974360100925,0.22249765694141388,Ja,-1.2511701583862305,0.22249765694141388,0
BT21::1,AfD,disagree,Ablehnung,0,0.5,-2.8252108097076416,-9.575210571289062,-4.0752105712890625,0.776593029499054,0.0009092969121411443,0.22249768674373627,Ja,-1.2511699199676514,0.22249768674373627,0
BT21::1,AfD,disagree,Ablehnung,0,1.0,-2.823646306991577,-9.698646545410156,-4.073646545410156,0.7766760587692261,0.0008025375427678227,0.22252137959003448,Ja,-1.251033067703247,0.22252137959003448,0
BT21::1,AfD,disagree,Ablehnung,0,2.0,-2.7952327728271484,-9.545232772827148,-4.045232772827148,0.7765930891036987,0.0009092970285564661,0.22249765694141388,Ja,-1.2511701583862305,0.22249765694141388,0
BT21::1,AfD,disagree,Ablehnung,0,4.0,-2.830904960632324,-9.580904960632324,-4.080904960632324,0.7765930891036987,0.0009092970285564661,0.22249765694141388,Ja,-1.2511701583862305,0.22249765694141388,0
BT21::1,AfD,disagree,Ablehnung,0,8.0,-2.8150696754455566,-9.690069198608398,-4.065069675445557,0.7766760587692261,0.00080253800842911,0.22252142429351807,Ja,-1.251032829284668,0.22252142429351807,0
BT21::2,AfD,agree,Zustimmung,0,0.0,-3.0676651000976562,-7.067665100097656,-4.192665100097656,0.7446193099021912,0.013638178817927837,0.24174249172210693,Ja,1.0701179504394531,0.7446193099021912,1
BT21::2,AfD,agree,Zustimmung,0,0.5,-3.000926971435547,-7.000926971435547,-4.250926971435547,0.766389012336731,0.014036904089152813,0.21957412362098694,Ja,1.1880321502685547,0.766389012336731,1
BT21::2,AfD,agree,Zustimmung,0,1.0,-3.142571449279785,-7.142571449279785,-4.267571449279785,0.7446193099021912,0.013638178817927837,0.24174249172210693,Ja,1.0701179504394531,0.7446193099021912,1
BT21::2,AfD,agree,Zustimmung,0,2.0,-3.011894941329956,-7.136895179748535,-4.261895179748535,0.7676551938056946,0.012407990172505379,0.21993684768676758,Ja,1.1951181888580322,0.7676551938056946,1
BT21::2,AfD,agree,Zustimmung,0,4.0,-3.1256532669067383,-7.125653266906738,-4.250653266906738,0.7446193099021912,0.013638178817927837,0.24174249172210693,Ja,1.0701179504394531,0.7446193099021912,1
BT21::2,AfD,agree,Zustimmung,0,8.0,-3.099698066711426,-7.224698066711426,-4.224698066711426,0.7458145618438721,0.012054969556629658,0.24213053286075592,Ja,1.0764126777648926,0.7458145618438721,1
BT21::5,AfD,disagree,Ablehnung,0,0.0,-1.0840296745300293,-5.334029674530029,-1.2090296745300293,0.527214527130127,0.0075203110463917255,0.4652651846408844,Z,-0.13916349411010742,0.4652651846408844,0
BT21::5,AfD,disagree,Ablehnung,0,0.5,-1.0077348947525024,-5.382734775543213,-1.2577348947525024,0.5582261085510254,0.007027029525488615,0.4347469210624695,Z,-0.2625095844268799,0.4347469210624695,0
BT21::5,AfD,disagree,Ablehnung,0,1.0,-1.0166118144989014,-5.2666120529174805,-1.2666118144989014,0.5577042698860168,0.007955224253237247,0.43434053659439087,Z,-0.2641634941101074,0.43434053659439087,0
BT21::5,AfD,disagree,Ablehnung,0,2.0,-1.0196571350097656,-5.269657135009766,-1.2696571350097656,0.5577042698860168,0.007955224253237247,0.43434053659439087,Z,-0.2641634941101074,0.43434053659439087,0
BT21::5,AfD,disagree,Ablehnung,0,4.0,-1.052229881286621,-5.302229881286621,-1.177229881286621,0.527214527130127,0.0075203110463917255,0.4652651846408844,Z,-0.13916349411010742,0.4652651846408844,0
BT21::5,AfD,disagree,Ablehnung,0,8.0,-0.9369722008705139,-5.436972141265869,-1.3119721412658691,0.5887900590896606,0.006540867034345865,0.4046691060066223,Z,-0.3860476613044739,0.4046691060066223,0
BT21::7,AfD,disagree,Ablehnung,0,0.0,-1.9246653318405151,-4.799665451049805,-2.7996654510498047,0.678758442401886,0.038292933255434036,0.2829485833644867,Ja,-0.929882287979126,0.2829485833644867,0
BT21::7,AfD,disagree,Ablehnung,0,0.5,-1.9276704788208008,-4.677670478820801,-2.802670478820801,0.675315260887146,0.04317145794630051,0.2815132737159729,Ja,-0.9369676113128662,0.2815132737159729,0
BT21::7,AfD,disagree,Ablehnung,0,1.0,-1.8707753419876099,-4.62077522277832,-2.7457752227783203,0.6753152012825012,0.04317145422101021,0.2815133035182953,Ja,-0.9369674921035767,0.2815133035182953,0
BT21::7,AfD,disagree,Ablehnung,0,2.0,-1.9205396175384521,-4.795539855957031,-2.795539617538452,0.678758442401886,0.03829292207956314,0.2829486131668091,Ja,-0.9298821687698364,0.2829486131668091,0
BT21::7,AfD,disagree,Ablehnung,0,4.0,-1.8566031455993652,-4.731603145599365,-2.7316031455993652,0.678758442401886,0.038292933255434036,0.2829486131668091,Ja,-0.9298821687698364,0.2829486131668091,0
BT21::7,AfD,disagree,Ablehnung,0,8.0,-1.9258108139038086,-4.675810813903809,-2.8008108139038086,0.675315260887146,0.04317145794630051,0.2815132737159729,Ja,-0.9369676113128662,0.2815132737159729,0
