thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,GRUENE,agree,Zustimmung,0,0.0,-0.13773569464683533,-7.762735843658447,-4.887735843658447,0.9909430146217346,0.0004836746084038168,0.008573336526751518,Z,4.695118099451065,0.9909430146217346,1
BT21::3,GRUENE,agree,Zustimmung,0,0.5,-0.13470745086669922,-7.759707450866699,-5.134707450866699,0.9928258657455444,0.0004845936200581491,0.006689608097076416,Z,4.930063724517822,0.9928258657455444,1
BT21::3,GRUENE,agree,Zustimmung,0,1.0,-0.13359245657920837,-7.75859260559082,-5.00859260559082,0.991942286491394,0.0004841623594984412,0.00757357245311141,Z,4.813032299280167,0.991942286491394,1
BT21::3,GRUENE,agree,Zustimmung,0,2.0,-0.1323481947183609,-7.88234806060791,-5.13234806060791,0.9928823709487915,0.0004276766849216074,0.006689989008009434,Z,4.938032016158104,0.9928823709487915,1
BT21::3,GRUENE,agree,Zustimmung,0,4.0,-0.11000917106866837,-7.86000919342041,-5.11000919342041,0.9928823709487915,0.0004276766849216074,0.006689989008009434,Z,4.9380321726202965,0.9928823709487915,1
BT21::3,GRUENE,agree,Zustimmung,0,8.0,-0.12043866515159607,-7.870438575744629,-5.120438575744629,0.9928823709487915,0.0004276766849216074,0.006689989008009434,Z,4.9380320608615875,0.9928823709487915,1
BT21::4,GRUENE,disagree,Ablehnung,0,0.0,-2.7960338592529297,-8.54603385925293,-3.1710338592529297,0.5915507674217224,0.0018827765015885234,0.4065665006637573,I,-0.3781776428222656,0.4065665006637573,0
BT21::4,GRUENE,disagree,Ablehnung,0,0.5,-2.694389820098877,-8.569389343261719,-3.194389820098877,0.6213729381561279,0.0017453096807003021,0.37688174843788147,I,-0.5028047561645508,0.37688174843788147,0
BT21::4,GRUENE,disagree,Ablehnung,0,1.0,-2.68310284614563,-8.43310260772705,-3.18310284614563,0.6212285757064819,0.0019772343803197145,0.3767941892147064,I,-0.5031776428222656,0.3767941892147064,0
BT21::4,GRUENE,disagree,Ablehnung,0,2.0,-2.702744483947754,-8.452744483947754,-3.202744483947754,0.6212285757064819,0.0019772343803197145,0.3767941892147064,I,-0.5031776428222656,0.3767941892147064,0
BT21::4,GRUENE,disagree,Ablehnung,0,4.0,-2.803799629211426,-8.428799629211426,-3.178799629211426,0.5914024710655212,0.0021329305600374937,0.4064646065235138,I,-0.3786001205444336,0.4064646065235138,0
BT21::4,GRUENE,disagree,Ablehnung,0,8.0,-2.7007827758789062,-8.325782775878906,-3.0757827758789062,0.5914024710655212,0.0021329305600374937,0.4064646065235138,I,-0.3786001205444336,0.4064646065235138,0
BT21::6,GRUENE,disagree,Ablehnung,0,0.0,-0.7860383987426758,-2.786038398742676,-2.286038398742676,0.7361246943473816,0.09962363541126251,0.16425162553787231,Z,-1.6269280314445496,0.16425162553787231,0
BT21::6,GRUENE,disagree,Ablehnung,0,0.5,-0.768875241279602,-2.7688751220703125,-2.2688751220703125,0.7361246943473816,0.0996236577630043,0.1642516553401947,Z,-1.62692791223526,0.1642516553401947,0
BT21::6,GRUENE,disagree,Ablehnung,0,1.0,-0.7685805559158325,-2.643580436706543,-2.143580436706543,0.7111391425132751,0.1090567335486412,0.17980416119098663,Z,-1.51767498254776,0.17980416119098663,0
BT21::6,GRUENE,disagree,Ablehnung,0,2.0,-0.7631626725196838,-2.763162612915039,-2.138162612915039,0.720370352268219,0.09749151766300201,0.18213814496994019,Z,-1.5019279718399048,0.18213814496994019,0
