thesis_key,election_id,thesis_nr,major_topic,topic_group,split,title,thesis
BT21::1,BT21,1,climate_energy_transport,speed_limit,train,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.
BT21::2,BT21,2,security_foreign_defence,defence_investment,train,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.
BT21::3,BT21,3,democracy_governance_eu,singleton_BT21::3,selection,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.
BT21::4,BT21,4,climate_energy_transport,renewable_support,selection,Windenergie,Die Förderung von Windenergie soll beendet werden.
BT21::5,BT21,5,economy_tax_social,rent_controls,train,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden."
BT21::6,BT21,6,education_science_health,singleton_BT21::6,selection,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.
BT21::7,BT21,7,climate_energy_transport,singleton_BT21::7,train,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.
BT21::8,BT21,8,economy_tax_social,universal_social_insurance,selection,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.
BT21::9,BT21,9,migration_citizenship,singleton_BT21::9,train,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.
BT21::10,BT21,10,economy_tax_social,singleton_BT21::10,selection,Steuer auf digitale Dienstleistungen,"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden."
BT21::11,BT21,11,rights_society_religion,traditional_family_tax_privilege,selection,Traditionelle Familie,"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden."
BT21::12,BT21,12,economy_tax_social,singleton_BT21::12,train,Parteispenden,Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.
BT21::13,BT21,13,economy_tax_social,student_aid_means_test,selection,Elternunabhängiges BAföG,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.
BT21::14,BT21,14,migration_citizenship,dual_citizenship,train,Doppelte Staatsbürgerschaft,"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben."
BT21::15,BT21,15,rights_society_religion,gender_identity_recognition,train,Sprachliche Berücksichtigung von Geschlechtsidentitäten,Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.
BT21::16,BT21,16,security_foreign_defence,singleton_BT21::16,selection,Nord Stream 2,"Die Ostsee-Pipeline ""Nord Stream 2"", die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen."
BT21::17,BT21,17,economy_tax_social,singleton_BT21::17,train,Abschaffung des Solidaritätszuschlags,Der Solidaritätszuschlag soll vollständig abgeschafft werden.
BT21::18,BT21,18,rights_society_religion,singleton_BT21::18,selection,Kopftuch im Dienst,Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.
BT21::19,BT21,19,climate_energy_transport,combustion_engines,selection,Verbrennungsmotor,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.
BT21::20,BT21,20,democracy_governance_eu,federal_school_authority,selection,Schulpolitik,Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.
BT21::21,BT21,21,rights_society_religion,anti_extremism_funding,train,Antisemitismus,Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.
BT21::22,BT21,22,security_foreign_defence,foreign_critical_infrastructure,selection,Aufträge an chinesische Firmen,Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.
BT21::23,BT21,23,economy_tax_social,singleton_BT21::23,train,Kirchensteuer,Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.
BT21::24,BT21,24,rights_society_religion,singleton_BT21::24,selection,Verkauf von Cannabis,Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.
