thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::1,GRUENE,agree,Zustimmung,0,0.0,-2.8433022499084473,-9.593301773071289,-4.093302249908447,0.7765930891036987,0.0009092974360100925,0.22249765694141388,Ja,1.2459216117858887,0.7765930891036987,1
BT21::1,GRUENE,agree,Zustimmung,0,0.5,-2.793994188308716,-9.668993949890137,-4.043993949890137,0.7766759991645813,0.0008025374845601618,0.22252145409584045,Ja,1.2463996410369873,0.7766759991645813,1
BT21::1,GRUENE,agree,Zustimmung,0,1.0,-2.8322267532348633,-9.582226753234863,-4.082226753234863,0.7765930891036987,0.0009092970285564661,0.22249765694141388,Ja,1.2459216117858887,0.7765930891036987,1
BT21::1,GRUENE,agree,Zustimmung,0,2.0,-2.7908430099487305,-9.54084300994873,-4.0408430099487305,0.7765930891036987,0.0009092970285564661,0.22249765694141388,Ja,1.2459216117858887,0.7765930891036987,1
BT21::1,GRUENE,agree,Zustimmung,0,4.0,-2.8063299655914307,-9.556329727172852,-4.056329727172852,0.776593029499054,0.0009092969121411443,0.22249768674373627,Ja,1.2459213733673096,0.776593029499054,1
BT21::1,GRUENE,agree,Zustimmung,0,8.0,-2.8365390300750732,-9.711539268493652,-4.086539268493652,0.7766760587692261,0.0008025375427678227,0.22252137959003448,Ja,1.2464001178741455,0.7766760587692261,1
BT21::2,GRUENE,disagree,Ablehnung,0,0.0,-3.0676651000976562,-7.067665100097656,-4.192665100097656,0.7446193099021912,0.013638178817927837,0.24174249172210693,Ja,-1.1431498527526855,0.24174249172210693,0
BT21::2,GRUENE,disagree,Ablehnung,0,0.5,-3.053382396697998,-7.178382396697998,-4.303382396697998,0.7676551938056946,0.012407990172505379,0.21993689239025116,Ja,-1.2660341262817383,0.21993689239025116,0
BT21::2,GRUENE,disagree,Ablehnung,0,1.0,-3.026228427886963,-7.151228427886963,-4.276228427886963,0.7676551938056946,0.012407990172505379,0.21993689239025116,Ja,-1.2660341262817383,0.21993689239025116,0
BT21::2,GRUENE,disagree,Ablehnung,0,2.0,-3.007824420928955,-7.132824420928955,-4.257824420928955,0.7676551938056946,0.012407990172505379,0.21993689239025116,Ja,-1.2660341262817383,0.21993689239025116,0
BT21::2,GRUENE,disagree,Ablehnung,0,4.0,-3.0245490074157715,-7.0245490074157715,-4.1495490074157715,0.7446193099021912,0.013638178817927837,0.24174249172210693,Ja,-1.1431498527526855,0.24174249172210693,0
BT21::2,GRUENE,disagree,Ablehnung,0,8.0,-3.0217175483703613,-7.021717548370361,-4.271717548370361,0.766389012336731,0.014036904089152813,0.21957412362098694,Ja,-1.2681498527526855,0.21957412362098694,0
BT21::5,GRUENE,agree,Zustimmung,0,0.0,-1.0840296745300293,-5.334029674530029,-1.2090296745300293,0.527214527130127,0.0075203110463917255,0.4652651846408844,Z,0.10896575450897217,0.527214527130127,1
BT21::5,GRUENE,agree,Zustimmung,0,0.5,-1.0511727333068848,-5.301172733306885,-1.1761727333068848,0.527214527130127,0.0075203110463917255,0.4652651846408844,Z,0.10896575450897217,0.527214527130127,1
BT21::5,GRUENE,agree,Zustimmung,0,1.0,-1.0472413301467896,-5.4222412109375,-1.2972413301467896,0.5582261085510254,0.007027029525488615,0.4347469210624695,Z,0.23396575450897217,0.5582261085510254,1
BT21::5,GRUENE,agree,Zustimmung,0,2.0,-1.052140712738037,-5.302140712738037,-1.177140712738037,0.527214527130127,0.0075203110463917255,0.4652651846408844,Z,0.10896575450897217,0.527214527130127,1
BT21::5,GRUENE,agree,Zustimmung,0,4.0,-1.0146006345748901,-5.26460075378418,-1.2646006345748901,0.5577042698860168,0.007955224253237247,0.43434053659439087,Z,0.2318500280380249,0.5577042698860168,1
BT21::5,GRUENE,agree,Zustimmung,0,8.0,-1.0534900426864624,-5.303490161895752,-1.1784900426864624,0.527214527130127,0.0075203110463917255,0.4652651846408844,Z,0.10896575450897217,0.527214527130127,1
BT21::7,GRUENE,agree,Zustimmung,0,0.0,-1.9246653318405151,-4.799665451049805,-2.7996654510498047,0.678758442401886,0.038292933255434036,0.2829485833644867,Ja,0.7480720281600952,0.678758442401886,1
BT21::7,GRUENE,agree,Zustimmung,0,0.5,-1.9289638996124268,-4.678963661193848,-2.8039638996124268,0.675315260887146,0.0431714728474617,0.2815132737159729,Ja,0.7323248386383057,0.675315260887146,1
BT21::7,GRUENE,agree,Zustimmung,0,1.0,-1.7701668739318848,-4.645166873931885,-2.7701668739318848,0.7021014094352722,0.03960985317826271,0.258288711309433,Ja,0.8573248386383057,0.7021014094352722,1
BT21::7,GRUENE,agree,Zustimmung,0,2.0,-1.9284031391143799,-4.678402900695801,-2.80340313911438,0.675315260887146,0.0431714728474617,0.2815132737159729,Ja,0.7323248386383057,0.675315260887146,1
BT21::7,GRUENE,agree,Zustimmung,0,4.0,-1.8790099620819092,-4.629010200500488,-2.629009962081909,0.6509168744087219,0.04161171242594719,0.307471364736557,Ja,0.6230721473693848,0.6509168744087219,1
BT21::7,GRUENE,agree,Zustimmung,0,8.0,-1.7705738544464111,-4.645573616027832,-2.645573854446411,0.678758442401886,0.03829294070601463,0.2829486131668091,Ja,0.7480719089508057,0.678758442401886,1
BT21::9,GRUENE,disagree,Ablehnung,0,0.0,-1.0984044075012207,-5.348404407501221,-2.4734044075012207,0.7892013192176819,0.01125735230743885,0.1995413452386856,Z,-1.3891634941101074,0.1995413452386856,0
BT21::9,GRUENE,disagree,Ablehnung,0,0.5,-1.1694302558898926,-5.419430255889893,-2.4194302558898926,0.768775999546051,0.010966001078486443,0.22025802731513977,Z,-1.2641634941101074,0.22025802731513977,0
BT21::9,GRUENE,disagree,Ablehnung,0,1.0,-1.143533706665039,-5.393533706665039,-2.393533706665039,0.768775999546051,0.010966001078486443,0.22025802731513977,Z,-1.2641634941101074,0.22025802731513977,0
BT21::9,GRUENE,disagree,Ablehnung,0,2.0,-1.088517427444458,-5.338517189025879,-2.338517427444458,0.768775999546051,0.010966001078486443,0.22025802731513977,Z,-1.2641634941101074,0.22025802731513977,0
BT21::9,GRUENE,disagree,Ablehnung,0,4.0,-1.0821468830108643,-5.332146644592285,-2.3321468830108643,0.768775999546051,0.010966001078486443,0.22025802731513977,Z,-1.2641634941101074,0.22025802731513977,0
BT21::9,GRUENE,disagree,Ablehnung,0,8.0,-1.074252963066101,-5.324253082275391,-2.3242530822753906,0.768775999546051,0.010966001078486443,0.22025799751281738,Z,-1.264163613319397,0.22025799751281738,0
BT21::12,GRUENE,disagree,Ablehnung,0,0.0,-3.05578875541687,-8.55578899383545,-4.930788516998291,0.863974392414093,0.003530865767970681,0.13249480724334717,Ja,-1.8790781497955322,0.13249480724334717,0
BT21::12,GRUENE,disagree,Ablehnung,0,0.5,-3.155024766921997,-8.655024528503418,-5.030024528503418,0.863974392414093,0.003530865767970681,0.13249480724334717,Ja,-1.8790781497955322,0.13249480724334717,0
BT21::12,GRUENE,disagree,Ablehnung,0,1.0,-3.162076711654663,-8.662076950073242,-5.037076473236084,0.863974392414093,0.003530865767970681,0.13249480724334717,Ja,-1.8790781497955322,0.13249480724334717,0
BT21::12,GRUENE,disagree,Ablehnung,0,2.0,-3.1561286449432373,-8.656128883361816,-5.031128406524658,0.863974392414093,0.003530865767970681,0.13249480724334717,Ja,-1.8790781497955322,0.13249480724334717,0
BT21::12,GRUENE,disagree,Ablehnung,0,4.0,-3.166767120361328,-8.666767120361328,-4.916767120361328,0.8489968776702881,0.0034696562215685844,0.14753352105617523,Ja,-1.7540783882141113,0.14753352105617523,0
BT21::12,GRUENE,disagree,Ablehnung,0,8.0,-3.0615925788879395,-8.436593055725098,-4.9365925788879395,0.8635683655738831,0.003999113105237484,0.1324325054883957,Ja,-1.8796203136444092,0.1324325054883957,0
BT21::14,GRUENE,agree,Zustimmung,0,0.0,-0.3669014275074005,-5.741901397705078,-4.366901397705078,0.9775681495666504,0.004527038894593716,0.01790478639304638,Z,3.7745871245861053,0.9775681495666504,1
BT21::14,GRUENE,agree,Zustimmung,0,0.5,-0.3958130180835724,-5.77081298828125,-4.39581298828125,0.9775681495666504,0.004527038894593716,0.01790478639304638,Z,3.7745871245861053,0.9775681495666504,1
BT21::14,GRUENE,agree,Zustimmung,0,1.0,-0.3951968848705292,-5.770196914672852,-4.395196914672852,0.9775681495666504,0.004527038894593716,0.01790478639304638,Z,3.77458718419075,0.9775681495666504,1
BT21::14,GRUENE,agree,Zustimmung,0,2.0,-0.36266613006591797,-5.737666130065918,-4.362666130065918,0.9775681495666504,0.004527038894593716,0.01790478639304638,Z,3.7745871543884277,0.9775681495666504,1
BT21::14,GRUENE,agree,Zustimmung,0,4.0,-0.37171995639801025,-5.621719837188721,-4.246719837188721,0.9746571779251099,0.005114531144499779,0.020228363573551178,Z,3.649587035179138,0.9746571779251099,1
BT21::14,GRUENE,agree,Zustimmung,0,8.0,-0.37127259373664856,-5.621272563934326,-4.371272563934326,0.9769793152809143,0.005126717034727335,0.017893999814987183,Z,3.748071163892746,0.9769793152809143,1
BT21::15,GRUENE,agree,Zustimmung,0,0.0,-2.980806589126587,-6.730806350708008,-6.355806350708008,0.9454156756401062,0.022234050557017326,0.03235035017132759,Ja,2.8518764972686768,0.9454156756401062,1
BT21::15,GRUENE,agree,Zustimmung,0,0.5,-2.8659629821777344,-6.740962982177734,-6.365962982177734,0.9515184760093689,0.019748136401176453,0.02873336896300316,Ja,2.976876735687256,0.9515184760093689,1
BT21::15,GRUENE,agree,Zustimmung,0,1.0,-2.8657116889953613,-6.740711688995361,-6.240711688995361,0.9478920698165894,0.019672872498631477,0.03243508189916611,Ja,2.900923252105713,0.9478920698165894,1
BT21::15,GRUENE,agree,Zustimmung,0,2.0,-2.862760543823242,-6.737760543823242,-6.362760543823242,0.9515184760093689,0.019748136401176453,0.02873336896300316,Ja,2.976876735687256,0.9515184760093689,1
BT21::15,GRUENE,agree,Zustimmung,0,4.0,-3.0884883403778076,-6.963488578796387,-6.588488578796387,0.9515184760093689,0.019748130813241005,0.02873336151242256,Ja,2.976876974105835,0.9515184760093689,1
BT21::15,GRUENE,agree,Zustimmung,0,8.0,-2.748452663421631,-6.748452663421631,-6.248452663421631,0.9537315964698792,0.017468202859163284,0.028800198808312416,Ja,3.025923252105713,0.9537315964698792,1
BT21::17,GRUENE,disagree,Ablehnung,0,0.0,-0.3003554344177246,-7.425355434417725,-4.050355434417725,0.9762549996376038,0.0007856246666051447,0.02295931801199913,Z,-3.750804454088211,0.02295931801199913,0
BT21::17,GRUENE,disagree,Ablehnung,0,0.5,-0.31095102429389954,-7.435951232910156,-4.060951232910156,0.9762549996376038,0.0007856246666051447,0.022959312424063683,Z,-3.7508046627044678,0.022959312424063683,0
BT21::17,GRUENE,disagree,Ablehnung,0,1.0,-0.3024728298187256,-7.427473068237305,-4.052473068237305,0.9762549996376038,0.0007856246666051447,0.022959312424063683,Z,-3.75080469250679,0.022959312424063683,0
BT21::17,GRUENE,disagree,Ablehnung,0,2.0,-0.30265551805496216,-7.4276556968688965,-3.9276554584503174,0.9732796549797058,0.0007832302944734693,0.025937024503946304,Z,-3.6258043944835663,0.025937024503946304,0
BT21::17,GRUENE,disagree,Ablehnung,0,4.0,-0.29352474212646484,-7.293524742126465,-3.918524742126465,0.9731782674789429,0.0008874237537384033,0.02593432180583477,Z,-3.6259114146232605,0.02593432180583477,0
BT21::17,GRUENE,disagree,Ablehnung,0,8.0,-0.272345632314682,-7.397345542907715,-4.022345542907715,0.9762549996376038,0.0007856246666051447,0.02295931801199913,Z,-3.750804364681244,0.02295931801199913,0
BT21::21,GRUENE,agree,Zustimmung,0,0.0,-0.3888694941997528,-6.388869285583496,-3.888869524002075,0.9683578610420227,0.0024003193248063326,0.02924187295138836,Z,3.4211101830005646,0.9683578610420227,1
BT21::21,GRUENE,agree,Zustimmung,0,0.5,-0.40030068159103394,-6.4003005027771,-3.9003007411956787,0.9683578610420227,0.0024003193248063326,0.02924187295138836,Z,3.421110212802887,0.9683578610420227,1
BT21::21,GRUENE,agree,Zustimmung,0,1.0,-0.3998780846595764,-6.274878025054932,-3.7748780250549316,0.9642951488494873,0.0027085067704319954,0.03299636393785477,Z,3.2961100935935974,0.9642951488494873,1
BT21::21,GRUENE,agree,Zustimmung,0,2.0,-0.40221869945526123,-6.402218818664551,-3.777218818664551,0.9646021723747253,0.0023910098243504763,0.03300687298178673,Z,3.305063843727112,0.9646021723747253,1
BT21::21,GRUENE,agree,Zustimmung,0,4.0,-0.41573068499565125,-6.2907304763793945,-3.7907307147979736,0.9642951488494873,0.0027085067704319954,0.03299636393785477,Z,3.2961101830005646,0.9642951488494873,1
BT21::21,GRUENE,agree,Zustimmung,0,8.0,-0.38545629382133484,-6.260456085205078,-3.7604563236236572,0.9642951488494873,0.0027085067704319954,0.03299636393785477,Z,3.2961101830005646,0.9642951488494873,1
