thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,AfD,disagree,Ablehnung,0,0.0,-17.62507438659668,-7.533743337262422e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-18.749999049163307,7.194133289090132e-09,0
BT21::3,AfD,disagree,Ablehnung,0,0.5,-17.500097274780273,-9.655486064730212e-05,-18.625097274780273,2.510999053129126e-08,1.0,8.152020392060422e-09,Neutral,-18.625000719919626,8.152020392060422e-09,0
BT21::3,AfD,disagree,Ablehnung,0,1.0,-17.625097274780273,-9.667406266089529e-05,-18.625097274780273,2.2159490242756874e-08,1.0,8.152020392060422e-09,Neutral,-18.625000600717613,8.152020392060422e-09,0
BT21::3,AfD,disagree,Ablehnung,0,2.0,-17.75007438659668,-7.533743337262422e-05,-18.75007438659668,1.9555681518568235e-08,1.0,7.194133289090132e-09,Neutral,-18.749999049163307,7.194133289090132e-09,0
BT21::3,AfD,disagree,Ablehnung,0,4.0,-17.62507438659668,-7.521823135903105e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-18.74999916836532,7.194133289090132e-09,0
BT21::3,AfD,disagree,Ablehnung,0,8.0,-17.750097274780273,-9.655486064730212e-05,-18.750097274780273,1.9555681518568235e-08,1.0,7.194133289090132e-09,Neutral,-18.750000719919626,7.194133289090132e-09,0
BT21::4,AfD,agree,Zustimmung,0,0.0,-20.000709533691406,-0.0007104733376763761,-15.750710487365723,2.06115324807854e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-19.99999917956302,2.06115324807854e-09,0
BT21::4,AfD,agree,Zustimmung,0,0.5,-20.000709533691406,-0.0007103541865944862,-15.875710487365723,2.06115324807854e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-19.9999992987141,2.06115324807854e-09,0
BT21::4,AfD,agree,Zustimmung,0,1.0,-20.250553131103516,-0.0005532164941541851,-16.125553131103516,1.6052277285183436e-09,0.9999998807907104,9.931193289958173e-08,Neutral,-20.25000003381865,1.6052277285183436e-09,0
BT21::4,AfD,agree,Zustimmung,0,2.0,-20.000709533691406,-0.0007103541865944862,-15.750710487365723,2.06115324807854e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-19.9999992987141,2.06115324807854e-09,0
BT21::4,AfD,agree,Zustimmung,0,4.0,-20.125709533691406,-0.0007103541865944862,-15.875710487365723,1.818961425925636e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-20.1249992987141,1.818961425925636e-09,0
BT21::4,AfD,agree,Zustimmung,0,8.0,-20.000709533691406,-0.0007103541865944862,-16.000709533691406,2.06115324807854e-09,0.9999998807907104,1.1253527532062435e-07,Neutral,-19.9999992987141,2.06115324807854e-09,0
BT21::6,AfD,agree,Zustimmung,0,0.0,-17.875123977661133,-0.00012385078298393637,-19.000123977661133,1.7257828943684217e-08,1.0,5.602796449011294e-09,Neutral,-17.87500012687815,1.7257828943684217e-08,0
BT21::6,AfD,agree,Zustimmung,0,0.5,-17.875123977661133,-0.00012385078298393637,-19.000123977661133,1.7257828943684217e-08,1.0,5.602796449011294e-09,Neutral,-17.87500012687815,1.7257828943684217e-08,0
BT21::6,AfD,agree,Zustimmung,0,1.0,-18.000123977661133,-0.00012385078298393637,-19.000123977661133,1.5229980832032197e-08,1.0,5.602796449011294e-09,Neutral,-18.00000012687815,1.5229980832032197e-08,0
BT21::6,AfD,agree,Zustimmung,0,2.0,-18.125097274780273,-9.643566590966657e-05,-19.125097274780273,1.3440409674103648e-08,1.0,4.94445018262013e-09,Neutral,-18.125000839114364,1.3440409674103648e-08,0
BT21::6,AfD,agree,Zustimmung,0,4.0,-17.750123977661133,-0.00012385078298393637,-18.875123977661133,1.9555681518568235e-08,1.0,6.348800152267131e-09,Neutral,-17.75000012687815,1.9555681518568235e-08,0
BT21::6,AfD,agree,Zustimmung,0,8.0,-17.875097274780273,-9.655486064730212e-05,-19.000097274780273,1.7257828943684217e-08,1.0,5.602796449011294e-09,Neutral,-17.875000719919626,1.7257828943684217e-08,0
BT21::8,AfD,agree,Zustimmung,0,0.0,-15.500335693359375,-0.0003361137059982866,-17.500335693359375,1.855391076333035e-07,0.9999997615814209,2.510998520222074e-08,Neutral,-15.499999579653377,1.855391076333035e-07,0
BT21::8,AfD,agree,Zustimmung,0,0.5,-15.250432014465332,-0.0004316828562878072,-17.250431060791016,2.3823690753488336e-07,0.9999997615814209,3.2241860736803574e-08,Neutral,-15.250000331609044,2.3823690753488336e-07,0
BT21::8,AfD,agree,Zustimmung,0,1.0,-15.625336647033691,-0.00033623288618400693,-17.750335693359375,1.637376669805235e-07,0.9999997615814209,1.9555676189497717e-08,Neutral,-15.625000414147507,1.637376669805235e-07,0
BT21::8,AfD,agree,Zustimmung,0,2.0,-15.375432014465332,-0.00043156370520591736,-17.375431060791016,2.1024332852448424e-07,0.9999997615814209,2.8453341016643208e-08,Neutral,-15.375000450760126,2.1024332852448424e-07,0
BT21::8,AfD,agree,Zustimmung,0,4.0,-15.625336647033691,-0.0003363520372658968,-17.500335693359375,1.637376669805235e-07,0.9999997615814209,2.510998520222074e-08,Neutral,-15.625000294996426,1.637376669805235e-07,0
BT21::8,AfD,agree,Zustimmung,0,8.0,-15.375431060791016,-0.0004314445541240275,-17.375431060791016,2.1024332852448424e-07,0.9999997615814209,2.8453341016643208e-08,Neutral,-15.374999616236892,2.1024332852448424e-07,0
