thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::1,DIE_LINKE,agree,Zustimmung,0,0.0,-2.8433022499084473,-9.593301773071289,-4.093302249908447,0.7765930891036987,0.0009092974360100925,0.22249765694141388,Ja,1.2459216117858887,0.7765930891036987,1
BT21::1,DIE_LINKE,agree,Zustimmung,0,0.5,-2.8319506645202637,-9.706951141357422,-4.081950664520264,0.7766760587692261,0.0008025371935218573,0.22252142429351807,Ja,1.2463998794555664,0.7766760587692261,1
BT21::1,DIE_LINKE,agree,Zustimmung,0,1.0,-2.732146739959717,-9.482147216796875,-4.107146739959717,0.7974415421485901,0.0009337076335214078,0.201624795794487,Ja,1.37037992477417,0.7974415421485901,1
BT21::1,DIE_LINKE,agree,Zustimmung,0,2.0,-2.7411468029022217,-9.4911470413208,-4.116147041320801,0.7974415421485901,0.0009337079827673733,0.20162475109100342,Ja,1.370380163192749,0.7974415421485901,1
BT21::1,DIE_LINKE,agree,Zustimmung,0,4.0,-2.7087879180908203,-9.45878791809082,-4.08378791809082,0.7974415421485901,0.0009337079827673733,0.201624795794487,Ja,1.37037992477417,0.7974415421485901,1
BT21::1,DIE_LINKE,agree,Zustimmung,0,8.0,-2.7669625282287598,-9.391962051391602,-4.01696252822876,0.7764990925788879,0.0010302442824468017,0.2224707156419754,Ja,1.24537992477417,0.7764990925788879,1
BT21::2,DIE_LINKE,disagree,Ablehnung,0,0.0,-3.0676651000976562,-7.067665100097656,-4.192665100097656,0.7446193099021912,0.013638178817927837,0.24174249172210693,Ja,-1.1431498527526855,0.24174249172210693,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,0.5,-3.0564284324645996,-7.1814284324646,-4.1814284324646,0.7458145618438721,0.012054969556629658,0.24213053286075592,Ja,-1.1410341262817383,0.24213053286075592,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,1.0,-3.0408477783203125,-7.1658477783203125,-4.2908477783203125,0.7676551938056946,0.012407990172505379,0.21993689239025116,Ja,-1.2660341262817383,0.21993689239025116,0
BT21::2,DIE_LINKE,disagree,Ablehnung,0,2.0,-3.006582260131836,-7.006582260131836,-4.256582260131836,0.766389012336731,0.014036904089152813,0.21957412362098694,Ja,-1.2681498527526855,0.21957412362098694,0
